date, pm25, o3, no2, so2, co
01-10-2023,139,20,13,19,10
02-10-2023,157,20,13,17,10
03-10-2023,161,21,13,16,10
04-10-2023,169,21,13,17,9
05-10-2023,164,21,13,19,8
06-10-2023,145,20,13,18,8
07-10-2023,136,21,13,18,8
08-10-2023,99,20,13,14,8
09-10-2023,107,21,13,13,8
10-10-2023,130,21,13,12,8
11-10-2023,145,21,13,11,8
12-10-2023,146,21,13,14,8
13-10-2023,147,21,13,13,8
14-10-2023,135,21,13,14,8
15-10-2023,143,22,13,12,8
16-10-2023,139,20,13,13,8
17-10-2023,130,21,13,12,7
18-10-2023,158,17,13,11,8
19-10-2023,155,17,13,13,7
20-10-2023,150,18,13,15,7
21-10-2023,156,18,13,14,8
22-10-2023,164,18,13,12,8
23-10-2023,155,19,13,12,8
24-10-2023,147,19,13,17,8
25-10-2023,158,18,13,26,7
26-10-2023,162,18,13,27,7
27-10-2023,168,19,13,28,8
28-10-2023,190,18,13,18,8
29-10-2023,161,15,13,14,8
30-10-2023,171,16,8,18,10
31-10-2023,174,16,8,15,10
01-11-2023,193,16,8,13,10
02-11-2023,237,16,8,9,10
03-11-2023,211,16,8,7,10
04-11-2023,309,16,8,9,10
05-11-2023,248,16,8,10,10
06-11-2023,247,16,4,7,11
07-11-2023,254,26,2,11,16
08-11-2023,278,25,3,15,33
09-11-2023,280,24,3,11,26
10-11-2023,160,16,3,8,20
11-11-2023,162, , , , 
19-11-2023,145,6,5,15,21
20-11-2023,189, , , , 
22-11-2023,218,23,6,18,26
23-11-2023,210,3,5,17,16
24-11-2023,234,6,2,29,19
25-11-2023,180,20,4,18,22
26-11-2023,187,17,1,14,25
27-11-2023,180,19,4,18,24
28-11-2023,147,21,4,16,24
29-11-2023,178,20,4,15,22
30-11-2023,209,23,6,14,22
01-12-2023,206,17,3,12,22
02-12-2023,164,21,4,10,22
03-12-2023,165,21,5,10,22
04-12-2023,163,23,5,12,18
05-12-2023,166, , , , 
07-12-2023,159,21,4,11,22
08-12-2023,159,3,4,15,21
09-12-2023,181,9,2,12,23
10-12-2023,168,16,6,11,26
11-12-2023,182,23,6,11,26
12-12-2023,185, , , , 
14-12-2023,173,7,5,11,26
15-12-2023,188,20,4,9,25
16-12-2023,191,20,4,9,25
17-12-2023,176,23,5,9,25
18-12-2023,170,15,5,10,25
19-12-2023,141,27,6,9,21
20-12-2023,137,20,3,10,26
21-12-2023,168,18,4,10,23
22-12-2023,177,26,4,8,27
23-12-2023,190,23,5,11,25
24-12-2023,218,20,5,9,27
25-12-2023,175,20,4,9,23
