Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,7.6,143,323
1/6/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,9.6,141,295
1/9/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.3,169,351
1/12/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,9.8,163,354
16-01-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,10.1,170,368
19-01-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,156,343
23-01-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,10,NA,368
25-01-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,7.1,NA,342
29-01-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,9.3,NA,324
2/2/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,8.1,NA,333
2/6/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,7,NA,325
2/9/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,NA,335
13-02-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,7.3,NA,322
17-02-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,7.9,NA,362
20-02-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10.3,NA,285
23-02-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,10.3,NA,367
27-02-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,9.9,148,332
3/2/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,10.1,149,330
3/6/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,9.7,162,378
3/9/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,9.9,172,365
13-03-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,129,288
16-03-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.8,154,349
20-03-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,12.8,14.5,235,427
22-03-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,10.5,159,380
28-03-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.3,180,361
30-03-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,9.9,208,390
4/3/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,11.2,206,393
4/5/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,9.3,186,332
4/10/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.3,8.3,157,298
13-04-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,9.6,149,291
17-04-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.4,8.8,189,370
20-04-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,11.4,183,409
24-04-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,11.8,193,415
27-04-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,11.9,205,377
30-04-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.2,13.7,184,372
5/1/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,10.9,177,357
5/4/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,10.6,159,307
5/8/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.2,8.2,133,266
5/11/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,12.7,210,439
15-05-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.1,10.4,164,320
18-05-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.2,160,333
22-05-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,11.1,208,419
25-05-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,12.1,161,349
29-05-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,8.5,167,362
6/1/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,8.8,172,380
6/5/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,11.9,135,363
6/8/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,11.2,179,344
6/12/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.8,162,369
15-06-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.8,13.8,233,493
19-06-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,5.3,5.9,94,311
22-06-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.7,12.2,186,310
26-06-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,NA,NA
29-06-07,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,9.8,121,195
7/3/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,9.7,135,236
7/6/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,9.6,109,190
7/10/2007,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,9.7,109,190
