Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,127.14,205.18,53.55,69.73,123.28,10.69,23.69,1.47,62.99,20.25,NA,NA,NA,26.41,66.91,25.30,95.82,NA,144.75,NA,0.00,302.61,NA,NA
2020-01-02 00:00:00,119.79,180.16,15.32,57.74,73.06,11.64,15.65,1.18,69.79,19.43,NA,NA,NA,24.03,69.68,26.61,98.45,NA,109.03,NA,0.00,288.84,NA,NA
2020-01-03 00:00:00,105.33,158.64,16.93,47.61,64.55,10.94,16.87,1.12,70.96,18.19,NA,NA,NA,22.21,63.42,26.38,97.26,NA,129.19,NA,0.00,285.14,NA,NA
2020-01-04 00:00:00,100.76,170.86,17.37,42.89,60.25,9.80,16.49,1.14,79.16,19.39,NA,NA,NA,20.66,44.98,25.60,98.84,NA,162.32,NA,0.00,286.58,NA,NA
2020-01-05 00:00:00,103.71,171.50,64.44,40.86,105.27,9.93,20.50,1.66,47.57,18.77,NA,NA,NA,25.31,63.12,27.96,92.59,NA,120.69,NA,0.00,309.59,NA,NA
2020-01-06 00:00:00,76.24,146.82,29.56,60.48,90.03,10.68,19.97,1.12,39.37,16.56,NA,NA,NA,26.66,71.27,29.84,93.00,NA,149.96,NA,0.00,308.55,NA,NA
2020-01-07 00:00:00,92.89,166.85,62.13,65.41,127.53,13.33,12.54,1.03,37.46,18.82,NA,NA,NA,29.47,83.48,29.54,99.20,NA,91.80,NA,0.00,251.95,NA,NA
2020-01-08 00:00:00,74.19,133.19,40.33,46.49,86.81,13.57,6.74,0.87,42.23,20.29,NA,NA,NA,41.83,85.88,29.13,99.91,NA,105.14,NA,0.00,273.40,NA,NA
2020-01-09 00:00:00,71.90,131.11,17.90,43.95,61.86,10.30,8.41,0.77,64.88,18.38,NA,NA,NA,24.39,60.86,27.26,97.26,NA,118.32,NA,0.00,313.39,NA,NA
2020-01-10 00:00:00,72.48,133.63,35.14,49.01,84.14,9.98,9.97,0.93,42.03,16.91,NA,NA,NA,27.55,74.06,28.56,94.70,NA,139.73,NA,0.00,302.44,NA,NA
2020-01-11 00:00:00,79.89,179.04,56.30,60.57,116.90,11.57,10.69,1.21,40.47,17.73,NA,NA,NA,36.72,83.09,30.06,94.53,NA,136.83,NA,0.00,289.15,NA,NA
2020-01-12 00:00:00,97.93,190.07,68.44,64.34,132.78,13.46,10.76,1.36,38.60,23.59,NA,NA,NA,50.98,82.58,29.61,96.81,NA,108.09,NA,0.00,265.87,NA,NA
2020-01-13 00:00:00,88.73,147.26,34.14,46.91,81.05,15.51,6.64,1.05,33.93,20.09,NA,NA,NA,36.33,84.11,28.85,99.90,NA,130.63,NA,0.00,240.35,NA,NA
