Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2019 00:00,321.6,498.36,70.94,34.67,76.12,34.27,13.92,11.52,14.36,67.09,0.52,144.9,0,0,55.38,752.92,NA
02-01-2019 00:00,311.87,433.6,37.4,44.32,53.7,65.9,10.78,14.62,14.96,72.66,0.48,221.31,0,0,53.93,753.11,NA
03-01-2019 00:00,399.52,551.3,55.68,66.55,77.29,59.84,10.81,11.94,14.7,72.78,1.2,101.27,0,0,52.51,754.13,NA
04-01-2019 00:00,288.43,426.88,31.89,47.9,51.41,46.97,6.68,8.65,12.97,76.45,0.82,144.73,0,0,43.44,752.93,NA
05-01-2019 00:00,261.97,386.13,19.95,70.26,39.87,50.92,9.48,9.79,13.8,74.09,0.92,242.87,0,0,51.52,751.56,NA
06-01-2019 00:00,190.84,261.69,36.2,75.84,69.76,67.82,6.85,12.89,14.34,76.79,1.12,189.05,0.01,0.5,49.76,750.86,NA
07-01-2019 00:00,195.95,283.2,57.22,64.72,80.95,62.7,8.63,11.39,14.21,76.92,0.91,125.32,0,0,57.41,752.5,NA
08-01-2019 00:00,173.4,257.31,30.05,41.32,46.16,46.5,6.7,11.54,14,75.3,1.21,104.05,0,0,62.46,750.8,NA
09-01-2019 00:00,143.07,239.44,34.43,57.1,58.36,47.91,7.7,16.97,14.29,67.09,1.46,98.71,0,0,71.2,749.97,NA
10-01-2019 00:00,167.4,292.43,77.14,85.3,108.09,59.99,10.85,11.42,14.2,65.01,1.07,105.31,0,0,70.47,749.69,NA
11-01-2019 00:00,302.26,476.49,182.19,104.91,235.62,71.91,20.68,7.36,13.7,72.16,0.48,136.29,0,0,56.66,751.19,NA
12-01-2019 00:00,372.73,535.37,152.6,89.84,197.94,75.74,15.59,2.52,14.77,71.83,0.51,236.91,0,0,57.7,750.43,NA
13-01-2019 00:00,275.19,394.12,52.43,63.31,76.31,52.49,14.46,3.09,16.4,68.24,0.8,155.04,0,0,57.08,752.15,NA
14-01-2019 00:00,90.82,165.64,11.21,38.91,29.81,33.19,9.8,4.18,13.92,57.91,1.69,110.49,0,0,74.17,752.01,NA
15-01-2019 00:00,139.69,245.38,28.49,39.86,44.37,27.89,10.64,15.45,12.14,63.2,1.3,94.29,0,0,58.33,751.01,NA
16-01-2019 00:00,279.65,394.65,61.73,37.24,69.99,28.81,19.92,17.42,12.7,72.16,0.49,237.22,0,0,57.78,751.02,NA
17-01-2019 00:00,355.88,509.36,72.33,39.33,79.73,25.41,18.92,25.26,14.31,69.41,0.73,150.97,0,0,57.96,749.68,NA
18-01-2019 00:00,245.88,373.62,65.86,78,95.03,44.31,11.25,4.29,14.46,68.12,0.91,105.71,0,0,68.07,750.12,NA
19-01-2019 00:00,287.67,468.81,132.92,94.39,158.27,60.04,15.43,16.71,16.02,65.18,0.66,130.4,0,0,68.35,749.88,NA
20-01-2019 00:00,372.55,541.96,85.17,19.12,78.58,19.35,23.27,31.24,17.82,71.6,0.47,248.82,0,0,59.81,748.98,NA
21-01-2019 00:00,157.44,247.64,11.1,41.32,28.72,50.53,9.35,17.27,16.38,76.98,1.55,272.27,0.01,1,37.01,746.41,NA
22-01-2019 00:00,60.35,76.65,22.77,39.73,38.48,51.45,4.09,16.25,14.81,86.77,1.38,234.01,0.01,1,50.05,747,NA
23-01-2019 00:00,134.85,204.4,73.64,67.66,95.86,57.85,9.13,33.41,14.61,82.24,0.83,149.04,0,0,75.28,750.26,NA
24-01-2019 00:00,137.31,214.86,40.43,60.46,65.03,52.24,13.32,27.42,15.52,77,1.07,193.69,0,0,68.39,752.26,NA
25-01-2019 00:00,73.28,113.29,11.86,52.74,37.7,37.07,10.07,37.18,14.45,72.54,1.29,164.8,0.01,1,83.62,752.35,NA
26-01-2019 00:00,91.92,139.22,11.31,55.92,38.94,35.92,15.11,29.6,13.51,63.49,1.32,123.71,0,0,92.82,754.96,NA
27-01-2019 00:00,128.15,185.77,18.67,68.85,51.81,43.93,11.85,18.54,12.06,66.31,1.29,108.02,0,0,71.86,754.99,NA
28-01-2019 00:00,114.5,180.63,22.79,66.3,53.79,42.14,13.04,22.57,12.69,60.59,1.52,106.58,0,0,94.35,754.66,NA
29-01-2019 00:00,132.72,210.37,38.32,75.19,71.16,46.56,15.18,21.98,13.65,59.29,1.44,113.92,0,0,94.53,753.03,NA
30-01-2019 00:00,213.61,348.06,63.19,95.07,101.94,57.55,22.54,21.31,14.01,59.56,0.99,132.56,0,0,79.52,752.03,NA
31-01-2019 00:00,175.19,274.27,53.86,71.32,81.72,64.05,16.23,22.84,14.94,65.71,1,229.6,0,0,65.84,751.03,NA
01-02-2019 00:00,180.82,254.78,17.97,58.68,50.41,76.06,12.19,25.04,15.66,72.2,1.28,184.42,0.01,0.5,70.39,751.45,NA
02-02-2019 00:00,214.9,285.98,18.31,51.69,42.38,71.55,7.3,8.21,12.44,85.43,1.58,116.97,0,0,67.17,751.64,NA
03-02-2019 00:00,169.18,241.44,30.44,53.78,53.36,63.09,6.88,17.07,13.23,86.05,1.17,112.87,0,0,68.85,752.74,NA
04-02-2019 00:00,163,266.26,74.98,78.81,101.76,57.79,9.58,20.37,14.72,76.63,0.8,125.82,0,0,89.34,753.31,NA
05-02-2019 00:00,218.44,325.21,39.14,57.03,61.45,78.71,15.5,23.25,16.53,76.77,0.54,229.63,0,0,72.62,750.73,NA
06-02-2019 00:00,196.14,252.05,12.17,35.08,28.55,76.42,10.73,7.5,18.01,82.2,1.08,226.23,0.01,0.5,70.78,745.75,NA
07-02-2019 00:00,73.66,98.13,8.7,21.97,18.47,47.77,5.89,4.32,16.28,87.45,1.59,230.4,0.12,11.5,28.3,743.88,NA
08-02-2019 00:00,74,148.51,25.69,54.7,49.98,35.68,9.76,4.98,14.77,69.62,1.26,141.04,0,0,93.68,749.48,NA
09-02-2019 00:00,81.14,155.11,22.37,50.89,45.26,36.55,8.62,6.7,14.3,67.19,1.57,115.55,0,0,104,751.7,NA
10-02-2019 00:00,138.46,235.46,47.85,64.45,73.18,46.26,13.02,22.79,14.9,67.2,1.04,104.83,0,0,84.42,753.24,NA
11-02-2019 00:00,174.3,315.31,113.02,92.94,141.32,54.5,16.43,7.96,15.65,68.25,0.6,134.01,0,0,83.33,753.65,NA
12-02-2019 00:00,222.53,392.01,156.65,101.02,181.07,66.21,21.73,3.88,17.13,70.38,0.59,182.4,0,0,71.59,753.68,NA
13-02-2019 00:00,250.16,392.22,56.61,76.13,86.51,79.34,22.94,3.84,18.07,72.39,0.55,232.4,0,0,70.41,752.72,NA
14-02-2019 00:00,160.16,211.67,8.84,36.86,26.79,60.95,8.02,3.8,17.09,78.51,1.44,237.28,0.05,5,51.33,748.61,NA
15-02-2019 00:00,126.38,172.11,22.18,42.32,40.34,50.42,8.95,3.79,16.87,78.28,1.13,167.76,0,0,72.22,748.68,NA
16-02-2019 00:00,137.31,190.56,15.11,42.26,34.77,44.12,4.15,3.76,15.47,83.75,1.57,115.3,0,0,62.11,750.22,NA
17-02-2019 00:00,125.3,193.14,29.36,50.92,50.65,43.04,7.71,4.07,15.99,76.73,1.38,107.94,0,0,94.35,747.17,NA
18-02-2019 00:00,127.92,196.93,28.22,49.2,49.12,44.63,14.59,3.71,18.01,68.75,0.89,204.47,0,0,79.52,742.74,NA
19-02-2019 00:00,143.37,237.26,33.56,50.09,53.61,54.94,10.16,3.72,18.47,76.62,0.63,208.53,0.01,0.5,74.49,745.72,NA
20-02-2019 00:00,95.12,156.85,13.39,42.35,33.17,46.05,7.32,3.82,18.3,79,1.16,255,0,0,38.51,750.57,NA
21-02-2019 00:00,79.33,185.13,38.54,48.74,56.97,40.12,12.82,3.83,20.83,68.1,0.89,263.7,0,0,87.73,749.29,NA
22-02-2019 00:00,85.28,156.19,21.82,36.29,37.04,45.97,6.5,4.06,19.13,71.99,2.02,129.01,0,0,105.4,749.69,NA
23-02-2019 00:00,49.8,96.73,10.42,37.14,28.04,26.65,7.6,3.6,16.82,61.25,2.07,120.62,0,0,114.23,748.18,NA
24-02-2019 00:00,88.98,153.82,25.32,58.91,51.93,31.04,11.06,3.96,17.69,58.03,1.28,138.29,0,0,106.58,744.94,NA
25-02-2019 00:00,99.61,170.45,42.17,53.88,62.95,36.01,18.1,3.83,17.49,66.91,0.91,216.69,0.11,10,89.29,744.35,NA
26-02-2019 00:00,55.68,89.74,14.53,34.61,30.22,33.31,9.76,3.95,16.17,70.93,1.13,231.24,0.01,0.5,58.88,744.48,NA
27-02-2019 00:00,57.47,97.97,16.32,42.83,36.04,30,10.84,3.37,14.74,72.59,1.22,201.59,0,0,76.48,744.48,NA
28-02-2019 00:00,96.03,176.43,100.43,54.97,110.88,31.32,13.29,5.26,15.11,67.82,1.22,120.55,0,0,108.99,748.28,NA
01-03-2019 00:00,95.69,178.16,52.22,77.52,83.7,33.57,11.83,2.32,16.83,59.53,1.17,124.34,0,0,115.73,748.68,NA
02-03-2019 00:00,115.82,182.66,54.78,74.62,84.23,45.46,8.38,17.13,15.36,78.17,0.74,175.56,0.01,0.5,36.19,749.11,NA
03-03-2019 00:00,71.5,99.43,24.56,36.65,39.47,38.1,6.57,15.69,16.1,83.68,0.7,214.95,0.01,0.5,81.31,745.85,NA
