Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,294.87,NA,123.06,64.57,135.47,NA,9.93,3.43,19.32,2.00,6.01,3.79,NA,3.01,3.98,NA,74.88,0.69,163.80,NA,0.00,86.55,728.97,-0.06
2021-01-02 00:00:00,210.76,NA,6.67,51.57,32.32,NA,7.54,2.06,21.64,2.00,6.00,3.81,NA,2.99,3.99,NA,66.59,0.67,155.68,NA,0.00,71.39,724.78,-0.04
2021-01-03 00:00:00,124.02,NA,6.78,35.54,24.03,NA,8.32,1.77,12.63,1.99,5.99,3.79,NA,2.99,4.00,NA,87.60,0.86,146.79,NA,0.00,52.27,720.85,-0.00
2021-01-04 00:00:00,56.89,NA,13.72,36.13,29.89,NA,8.68,1.12,8.93,1.99,5.99,3.79,NA,3.00,4.00,NA,92.36,0.60,179.33,NA,0.00,83.30,723.02,-0.04
2021-01-05 00:00:00,61.79,NA,56.58,25.82,47.71,NA,6.65,1.15,6.86,2.01,5.98,3.78,NA,3.00,3.99,NA,92.50,0.69,129.74,NA,0.00,65.98,720.43,-0.02
2021-01-06 00:00:00,102.58,NA,65.33,1.15,35.21,NA,6.67,1.43,5.12,2.01,6.00,3.80,NA,3.00,4.00,NA,92.33,0.61,235.84,NA,0.00,53.34,710.07,-0.06
2021-01-07 00:00:00,89.92,NA,88.06,26.34,214.66,NA,9.80,1.05,18.54,2.00,5.98,3.82,NA,3.00,4.00,NA,90.47,0.66,248.40,NA,0.00,88.08,706.62,-0.06
2021-01-08 00:00:00,91.13,NA,25.54,40.15,30.27,NA,9.06,0.55,10.30,1.99,6.02,3.82,NA,3.00,3.98,NA,91.74,0.46,236.18,NA,0.00,67.54,NA,-0.06
2021-01-09 00:00:00,108.15,NA,4.77,28.13,18.55,NA,8.60,0.95,18.14,2.00,5.99,3.80,NA,3.00,3.99,NA,91.67,0.62,263.39,NA,0.00,74.85,NA,-0.06
2021-01-10 00:00:00,106.47,NA,4.43,16.68,12.28,NA,7.27,0.57,32.83,1.99,5.98,3.82,NA,2.99,4.00,NA,89.97,0.82,270.57,NA,0.00,88.54,NA,-0.02
2021-01-11 00:00:00,102.39,NA,6.93,29.24,20.85,NA,10.75,0.86,26.83,1.99,6.00,3.78,NA,3.00,4.00,NA,88.80,0.78,244.14,NA,0.00,80.53,NA,-0.04
2021-01-12 00:00:00,124.69,NA,43.13,42.53,56.77,NA,12.33,1.31,25.46,2.01,6.00,3.79,NA,3.00,3.98,NA,88.15,0.71,219.83,NA,0.00,101.78,NA,-0.06
2021-01-13 00:00:00,189.49,NA,74.96,49.24,88.86,NA,10.24,2.28,20.25,1.98,6.01,3.81,NA,3.01,3.99,NA,86.99,0.67,241.60,NA,0.00,71.41,NA,-0.07
2021-01-14 00:00:00,312.22,NA,139.80,68.72,147.81,NA,77.90,2.89,26.53,1.99,6.01,3.81,NA,3.01,3.99,NA,81.25,0.69,176.67,NA,0.00,87.57,NA,-0.07
2021-01-15 00:00:00,278.96,NA,75.18,65.94,94.40,NA,44.58,2.53,34.23,2.01,6.00,3.80,NA,2.99,4.00,NA,82.36,0.55,170.73,NA,0.00,90.66,NA,-0.08
2021-01-16 00:00:00,158.46,NA,22.41,45.47,41.83,NA,6.79,2.08,20.85,2.00,6.00,3.82,NA,3.01,3.98,NA,87.56,0.66,246.01,NA,0.00,72.47,NA,-0.07
2021-01-17 00:00:00,178.20,NA,13.17,39.84,31.39,NA,6.53,1.61,16.92,1.98,6.01,3.79,NA,3.01,3.98,NA,90.46,1.08,105.83,NA,0.00,92.00,NA,0.04
2021-01-18 00:00:00,179.27,NA,53.42,43.79,65.66,NA,10.50,2.23,24.18,1.99,6.00,3.79,NA,3.02,4.00,NA,83.71,0.88,128.83,NA,0.00,89.71,NA,-0.00
2021-01-19 00:00:00,189.16,NA,54.98,36.02,62.84,NA,5.51,2.07,8.12,1.99,6.03,3.80,NA,3.01,4.01,NA,90.76,0.83,252.71,NA,0.00,76.22,NA,-0.05
