Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,321.60,498.36,70.94,34.67,76.12,34.27,13.92,2.56,11.52,0.76,5.67,1.54,NA,NA,NA,14.36,67.09,0.52,144.90,0.00,0.00,55.38,752.92,NA
2019-01-02 00:00:00,311.87,433.60,37.40,44.32,53.70,65.90,10.78,2.17,14.62,0.63,3.63,0.70,NA,NA,NA,14.96,72.66,0.48,221.31,0.00,0.00,53.93,753.11,NA
2019-01-03 00:00:00,399.52,551.30,55.68,66.55,77.29,59.84,10.81,2.64,11.94,0.86,8.13,1.92,NA,NA,NA,14.70,72.78,1.20,101.27,0.00,0.00,52.51,754.13,NA
2019-01-04 00:00:00,288.43,426.88,31.89,47.90,51.41,46.97,6.68,2.78,8.65,0.66,4.50,0.75,NA,NA,NA,12.97,76.45,0.82,144.73,0.00,0.00,43.44,752.93,NA
2019-01-05 00:00:00,261.97,386.13,19.95,70.26,39.87,50.92,9.48,1.74,9.79,0.62,6.00,0.64,NA,NA,NA,13.80,74.09,0.92,242.87,0.00,0.00,51.52,751.56,NA
2019-01-06 00:00:00,190.84,261.69,36.20,75.84,69.76,67.82,6.85,2.07,12.89,0.42,3.57,0.46,NA,NA,NA,14.34,76.79,1.12,189.05,0.01,0.50,49.76,750.86,NA
2019-01-07 00:00:00,195.95,283.20,57.22,64.72,80.95,62.70,8.63,1.51,11.39,0.53,5.06,0.78,NA,NA,NA,14.21,76.92,0.91,125.32,0.00,0.00,57.41,752.50,NA
2019-01-08 00:00:00,173.40,257.31,30.05,41.32,46.16,46.50,6.70,2.00,11.54,0.42,3.83,0.59,NA,NA,NA,14.00,75.30,1.21,104.05,0.00,0.00,62.46,750.80,NA
2019-01-09 00:00:00,143.07,239.44,34.43,57.10,58.36,47.91,7.70,1.90,16.97,0.38,3.14,0.53,NA,NA,NA,14.29,67.09,1.46,98.71,0.00,0.00,71.20,749.97,NA
2019-01-10 00:00:00,167.40,292.43,77.14,85.30,108.09,59.99,10.85,2.22,11.42,0.45,3.00,0.60,NA,NA,NA,14.20,65.01,1.07,105.31,0.00,0.00,70.47,749.69,NA
