Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),City,Year
2017-01,,,,,,,agartala,2017
2017-02,,,,,,,agartala,2017
2017-03,,,,,,,agartala,2017
2017-04,,,,,,,agartala,2017
2017-05,,,,,,,agartala,2017
2017-06,,,,,,,agartala,2017
2017-07,,,,,,,agartala,2017
2017-08,,,,,,,agartala,2017
2017-09,,,,,,,agartala,2017
2017-10,,,,,,,agartala,2017
2017-11,,,,,,,agartala,2017
2017-12,,,,,,,agartala,2017
2018-01,,,,,,,agartala,2018
2018-02,,,,,,,agartala,2018
2018-03,,,,,,,agartala,2018
2018-04,,,,,,,agartala,2018
2018-05,,,,,,,agartala,2018
2018-06,,,,,,,agartala,2018
2018-07,,,,,,,agartala,2018
2018-08,,,,,,,agartala,2018
2018-09,,,,,,,agartala,2018
2018-10,,,,,,,agartala,2018
2018-11,,,,,,,agartala,2018
2018-12,,,,,,,agartala,2018
2019-01,,,,,,,agartala,2019
2019-02,,,,,,,agartala,2019
2019-03,,,,,,,agartala,2019
2019-04,,,,,,,agartala,2019
2019-05,,,,,,,agartala,2019
2019-06,,,,,,,agartala,2019
2019-07,,,,,,,agartala,2019
2019-08,,,,,,,agartala,2019
2019-09,,,,,,,agartala,2019
2019-10,,,,,,,agartala,2019
2019-11,,,,,,,agartala,2019
2019-12,,,,,,,agartala,2019
2020-01,,,,,,,agartala,2020
2020-02,,,,,,,agartala,2020
2020-03,,,,,,,agartala,2020
2020-04,,,,,,,agartala,2020
2020-05,,,,,,,agartala,2020
2020-06,,,,,,,agartala,2020
2020-07,,,,,,,agartala,2020
2020-08,,,,,,,agartala,2020
2020-09,,,,,,,agartala,2020
2020-10,,,,,,,agartala,2020
2020-11,,,,,,,agartala,2020
2020-12,,,,,,,agartala,2020
2021-01,,,,,,,agartala,2021
2021-02,,,,,,,agartala,2021
2021-03,,,,,,,agartala,2021
2021-04,,,,,,,agartala,2021
2021-05,,,,,,,agartala,2021
2021-06,,,,,,,agartala,2021
2021-07,,,,,,,agartala,2021
2021-08,,,,,,,agartala,2021
2021-09,,,,,,,agartala,2021
2021-10,,,,,,,agartala,2021
2021-11,,,,,,,agartala,2021
2021-12,,,,,,,agartala,2021
2022-01,,,,,,,agartala,2022
2022-02,,,,,,,agartala,2022
2022-03,79.25277777777778,134.76333333333332,16.334999999999997,11.869444444444445,1.0688888888888888,8.378333333333334,agartala,2022
2022-04,24.83833333333333,65.57300000000001,8.099666666666668,8.850999999999999,0.5783333333333334,7.071666666666667,agartala,2022
2022-05,22.45225806451613,57.15233333333333,6.779677419354838,11.204516129032257,0.5841935483870968,6.122258064516129,agartala,2022
2022-06,14.025333333333332,43.080666666666666,6.205,14.120666666666667,0.4703333333333333,5.031666666666666,agartala,2022
2022-07,24.179333333333332,36.44241379310345,4.467,15.234333333333332,0.49766666666666665,11.836,agartala,2022
2022-08,28.111071428571428,45.97451612903226,6.081290322580646,19.698387096774194,0.5470967741935484,11.538387096774194,agartala,2022
2022-09,29.107931034482757,47.226,5.806,21.36733333333333,0.6786666666666666,14.787666666666667,agartala,2022
2022-10,52.764761904761905,70.9396,8.18423076923077,25.98423076923077,0.9288461538461538,17.257692307692306,agartala,2022
2022-11,76.46633333333334,122.778,17.99866666666667,31.791,1.4883333333333333,13.213,agartala,2022
2022-12,136.1506896551724,220.39290322580646,24.228064516129034,36.63129032258065,1.9648387096774191,36.25483870967742,agartala,2022
2023-01,204.42075681610055,266.84580958814627,26.321507616487455,42.488389336917564,1.9067237903225807,53.51350629276637,agartala,2023
2023-02,167.9205191259306,264.64113068414173,21.970533056972787,47.16464521919879,1.3788714687263794,16.802939445888107,agartala,2023
2023-03,119.09407178059395,187.54443650211795,15.027801299283155,51.554705421146956,0.9842719534050178,13.196069522606583,agartala,2023
2023-04,94.5358355174415,149.37148818785954,15.208072916666667,57.27247916666667,0.777420138888889,21.065749290777923,agartala,2023
2023-05,62.920360715322936,89.15389413384979,16.671399478657545,67.44496466682959,0.5435455360052134,18.06809985783054,agartala,2023
2023-06,56.76562870735661,75.39024876200001,8.336737268518519,32.31028396739131,0.38252777777777774,10.301707443312754,agartala,2023
2023-07,33.35986916269704,48.052927959823265,6.696284073759668,22.529059906149783,0.29519465666855305,2.9072771340566317,agartala,2023
2023-08,54.990363952622694,74.25651293343891,6.703293010752689,37.40501168770453,0.3779510442514475,5.321093895473841,agartala,2023
2023-09,46.355261894603814,72.69626880086079,5.874557802688384,9.994343088706929,0.45639680941578264,5.163898162229636,agartala,2023
2023-10,74.93201905095839,118.52126051893408,8.389415322580644,11.834948476702507,0.6571639784946236,5.660981182795699,agartala,2023
2023-11,83.15565184040497,147.29266234932985,11.323517361111112,16.891846064814814,0.9703336805555556,3.2315287422839507,agartala,2023
2023-12,97.04816462838237,175.00517441116233,13.365292658730159,18.16489903353815,1.0367001728110599,2.1422791582582854,agartala,2023
